year,result_code,electoral_district_name,polling_division_name,party,candidate,votes,percentage,affiliation
2015,13B,Digamadulla,Sammanthurai,NSSP,Sundaram Mahendran,19,0.03,red
2015,13B,Digamadulla,Sammanthurai,ULGC,Jayantha Kulathunga,8,0.01,
1982,13C,Digamadulla,Kalmunai,UNP,Junius Richard Jayewardene,18347,64.15,green
1982,13C,Digamadulla,Kalmunai,SLFP,Hector Kobbekaduwa,8197,28.66,blue
1982,13C,Digamadulla,Kalmunai,ACTC,Kumar Ponnambalam,926,3.24,yellow
1982,13C,Digamadulla,Kalmunai,JVP,Rohana Wijeweera,861,3.01,red
1982,13C,Digamadulla,Kalmunai,LSSP,Colvin Reginald de Silva,153,0.53,red
1982,13C,Digamadulla,Kalmunai,NSSP,Vasudeva Nanayakkara,115,0.4,red
1988,13C,Digamadulla,Kalmunai,UNP,Ranasinghe Premadasa,18746,62.03,green
1988,13C,Digamadulla,Kalmunai,SLFP,Sirimavo Bandaranaike,9708,32.12,blue
1988,13C,Digamadulla,Kalmunai,SLPP,Oswin Abeygunasekara,1766,5.84,purple
1994,13C,Digamadulla,Kalmunai,PA,Chandrika Kumaratunga,31511,86.31,blue
1994,13C,Digamadulla,Kalmunai,UNP,Srimathi Dissanayake,4092,11.21,green
1994,13C,Digamadulla,Kalmunai,Ind 2,Hudson Samarasinghe,701,1.92,
1994,13C,Digamadulla,Kalmunai,SLPF,G. A. Nihal,78,0.21,
1994,13C,Digamadulla,Kalmunai,Ind 1,Arthur Jayasena Ranasinghe,70,0.19,
1994,13C,Digamadulla,Kalmunai,SMBP,Harischandra Wijayatunga,58,0.16,
1999,13C,Digamadulla,Kalmunai,PA,Chandrika Kumaratunga,23773,55.38,blue
1999,13C,Digamadulla,Kalmunai,UNP,Ranil Wickremesinghe,18390,42.84,green
1999,13C,Digamadulla,Kalmunai,JVP,M. D. Nandana Gunathilake,34,0.08,red
1999,13C,Digamadulla,Kalmunai,Ind 2,W. V. M. Ranjith,149,0.35,
1999,13C,Digamadulla,Kalmunai,Liberal,Rajiva Wijesinha,136,0.32,
1999,13C,Digamadulla,Kalmunai,Ind 1,T. Edirisuriya,112,0.26,
1999,13C,Digamadulla,Kalmunai,SLMP,Abdul Rasool,129,0.3,purple
1999,13C,Digamadulla,Kalmunai,PLSF,Kamal Karunadasa,65,0.15,
1999,13C,Digamadulla,Kalmunai,LDA,Vasudeva Nanayakkara,79,0.18,
1999,13C,Digamadulla,Kalmunai,SMBP,Harischandra Wijayatunga,18,0.04,
1999,13C,Digamadulla,Kalmunai,Ind 3,Hudson Samarasinghe,22,0.05,
1999,13C,Digamadulla,Kalmunai,DUNF,A. Dissanayaka,7,0.02,
1999,13C,Digamadulla,Kalmunai,PFF,A. W. Premawardhana,10,0.02,
2005,13C,Digamadulla,Kalmunai,UNP,Ranil Wickremesinghe,29316,75.6,green
2005,13C,Digamadulla,Kalmunai,UPFA,Mahinda Rajapaksa,8951,23.08,blue
2005,13C,Digamadulla,Kalmunai,USP,Siritunga Jayasuriya,175,0.45,
2005,13C,Digamadulla,Kalmunai,JSP,A. A. Suraweera,125,0.32,
2005,13C,Digamadulla,Kalmunai,ULPP,Victor Hettigoda,68,0.18,
2005,13C,Digamadulla,Kalmunai,RPP,Aruna de Soyza,19,0.05,
2005,13C,Digamadulla,Kalmunai,DUA,A. K. J. Arachchige,33,0.09,
2005,13C,Digamadulla,Kalmunai,ULF,Anura De Silva,43,0.11,
2005,13C,Digamadulla,Kalmunai,NLF,Chamil Jayaneththi,15,0.04,
2005,13C,Digamadulla,Kalmunai,SLNF,Wimal Geeganage,9,0.02,
2005,13C,Digamadulla,Kalmunai,SLPF,P. Nelson Perera,9,0.02,
2005,13C,Digamadulla,Kalmunai,SEP,Wije Dias,13,0.03,
2005,13C,Digamadulla,Kalmunai,UNAF,H. S. Dharmadwaja,3,0.01,
2010,13C,Digamadulla,Kalmunai,NDF,Sarath Fonseka,32946,75.76,green
2010,13C,Digamadulla,Kalmunai,UPFA,Mahinda Rajapaksa,9564,21.99,blue
2010,13C,Digamadulla,Kalmunai,DUNF,M. C. M. Ismail,181,0.42,
2010,13C,Digamadulla,Kalmunai,UDF,C. J. Sugathsiri Gamage,284,0.65,
2010,13C,Digamadulla,Kalmunai,Ind 1,W. V. M. Ranjith,27,0.06,
2010,13C,Digamadulla,Kalmunai,JSP,A. A. Suraweera,39,0.09,
2010,13C,Digamadulla,Kalmunai,ONF,Lal Perera,81,0.19,
2010,13C,Digamadulla,Kalmunai,SLLP,A. S. P. Liyanage,62,0.14,
2010,13C,Digamadulla,Kalmunai,Ind 5,M. K. Shivajilingam,45,0.1,
2010,13C,Digamadulla,Kalmunai,NSH,Sarath Manamendra,39,0.09,
2010,13C,Digamadulla,Kalmunai,Ind 3,Ukkubanda Wijekoon,28,0.06,
2010,13C,Digamadulla,Kalmunai,USP,Siritunga Jayasuriya,41,0.09,
2010,13C,Digamadulla,Kalmunai,Ind 4,M. Mohamed Musthaffa,39,0.09,
2010,13C,Digamadulla,Kalmunai,Ind 2,Aithurus Mohamed Illias,19,0.04,
2010,13C,Digamadulla,Kalmunai,LF,Vikramabahu Karunaratne,26,0.06,
2010,13C,Digamadulla,Kalmunai,NA,Sanath Pinnaduwa,10,0.02,
2010,13C,Digamadulla,Kalmunai,SEP,Wije Dias,7,0.02,
2010,13C,Digamadulla,Kalmunai,PNF,Senaratna de Silva,8,0.02,
2010,13C,Digamadulla,Kalmunai,JP,Baththaramulle Seelarathana Thero,15,0.03,
2010,13C,Digamadulla,Kalmunai,RPP,Aruna de Soyza,8,0.02,
2010,13C,Digamadulla,Kalmunai,ACAKO,M. B. Theminimulla,11,0.03,
2010,13C,Digamadulla,Kalmunai,UNAF,Sarath Kongahage,6,0.01,
2015,13C,Digamadulla,Kalmunai,I-AMI,Aithurus Mohamed Illias,24,0.05,
2015,13C,Digamadulla,Kalmunai,UPF,Maulawi Ibrahim Mohanmed Mishlar,61,0.12,
2015,13C,Digamadulla,Kalmunai,DNM,Prasanna Priyankara,12,0.02,
2015,13C,Digamadulla,Kalmunai,SLNF,Wimal Geeganage,5,0.01,
2015,13C,Digamadulla,Kalmunai,USP,Siritunga Jayasuriya,31,0.06,
2015,13C,Digamadulla,Kalmunai,AACAAKO,M. B. Theminimulla,14,0.03,
2015,13C,Digamadulla,Kalmunai,SEP,Pani Wijesiriwardane,11,0.02,
2015,13C,Digamadulla,Kalmunai,FSP,Duminda Nagamuwa,26,0.05,
2015,13C,Digamadulla,Kalmunai,SLLP,A. S. P. Liyanage,94,0.19,
2015,13C,Digamadulla,Kalmunai,NDF,Maithripala Sirisena,45411,89.81,green
2015,13C,Digamadulla,Kalmunai,ULPP,Ruwanthilaka Peduru Arachchi,68,0.13,
2015,13C,Digamadulla,Kalmunai,I-AP,Anuruddha Polgampala,14,0.03,
2015,13C,Digamadulla,Kalmunai,JSP,Baththaramulle Seelarathana Thero,9,0.02,
2015,13C,Digamadulla,Kalmunai,NSH,Sarath Manamendra,31,0.06,
2015,13C,Digamadulla,Kalmunai,PNF,Arachchige Rathnayaka Sirisena,26,0.05,
2015,13C,Digamadulla,Kalmunai,UPFA,Mahinda Rajapaksa,4683,9.26,blue
2015,13C,Digamadulla,Kalmunai,ONF,Namal Ajith Rajapaksa,22,0.04,
2015,13C,Digamadulla,Kalmunai,NSSP,Sundaram Mahendran,12,0.02,red
2015,13C,Digamadulla,Kalmunai,ULGC,Jayantha Kulathunga,7,0.01,
1982,13D,Digamadulla,Pottuvil,UNP,Junius Richard Jayewardene,23286,47.29,green
1982,13D,Digamadulla,Pottuvil,SLFP,Hector Kobbekaduwa,17265,35.06,blue
1982,13D,Digamadulla,Pottuvil,ACTC,Kumar Ponnambalam,5748,11.67,yellow
1982,13D,Digamadulla,Pottuvil,JVP,Rohana Wijeweera,2518,5.11,red
1982,13D,Digamadulla,Pottuvil,LSSP,Colvin Reginald de Silva,304,0.62,red
1982,13D,Digamadulla,Pottuvil,NSSP,Vasudeva Nanayakkara,119,0.24,red
1988,13D,Digamadulla,Pottuvil,UNP,Ranasinghe Premadasa,25262,43.67,green
1988,13D,Digamadulla,Pottuvil,SLFP,Sirimavo Bandaranaike,27239,47.09,blue
1988,13D,Digamadulla,Pottuvil,SLPP,Oswin Abeygunasekara,5345,9.24,purple
1994,13D,Digamadulla,Pottuvil,PA,Chandrika Kumaratunga,56780,80.76,blue
1994,13D,Digamadulla,Pottuvil,UNP,Srimathi Dissanayake,11774,16.75,green
1994,13D,Digamadulla,Pottuvil,Ind 2,Hudson Samarasinghe,1407,2.0,
1994,13D,Digamadulla,Pottuvil,SLPF,G. A. Nihal,147,0.21,
1994,13D,Digamadulla,Pottuvil,Ind 1,Arthur Jayasena Ranasinghe,88,0.13,
1994,13D,Digamadulla,Pottuvil,SMBP,Harischandra Wijayatunga,114,0.16,
1999,13D,Digamadulla,Pottuvil,PA,Chandrika Kumaratunga,46341,55.89,blue
1999,13D,Digamadulla,Pottuvil,UNP,Ranil Wickremesinghe,34407,41.5,green
1999,13D,Digamadulla,Pottuvil,JVP,M. D. Nandana Gunathilake,427,0.51,red
1999,13D,Digamadulla,Pottuvil,Ind 2,W. V. M. Ranjith,437,0.53,
1999,13D,Digamadulla,Pottuvil,Liberal,Rajiva Wijesinha,339,0.41,
1999,13D,Digamadulla,Pottuvil,Ind 1,T. Edirisuriya,231,0.28,
1999,13D,Digamadulla,Pottuvil,SLMP,Abdul Rasool,284,0.34,purple
1999,13D,Digamadulla,Pottuvil,PLSF,Kamal Karunadasa,162,0.2,
1999,13D,Digamadulla,Pottuvil,LDA,Vasudeva Nanayakkara,116,0.14,
1999,13D,Digamadulla,Pottuvil,SMBP,Harischandra Wijayatunga,76,0.09,
1999,13D,Digamadulla,Pottuvil,Ind 3,Hudson Samarasinghe,34,0.04,
1999,13D,Digamadulla,Pottuvil,DUNF,A. Dissanayaka,40,0.05,
1999,13D,Digamadulla,Pottuvil,PFF,A. W. Premawardhana,22,0.03,
2005,13D,Digamadulla,Pottuvil,UNP,Ranil Wickremesinghe,55467,65.75,green
2005,13D,Digamadulla,Pottuvil,UPFA,Mahinda Rajapaksa,27704,32.84,blue
2005,13D,Digamadulla,Pottuvil,USP,Siritunga Jayasuriya,419,0.5,
2005,13D,Digamadulla,Pottuvil,JSP,A. A. Suraweera,314,0.37,
2005,13D,Digamadulla,Pottuvil,ULPP,Victor Hettigoda,76,0.09,
2005,13D,Digamadulla,Pottuvil,RPP,Aruna de Soyza,93,0.11,
2005,13D,Digamadulla,Pottuvil,DUA,A. K. J. Arachchige,68,0.08,
2005,13D,Digamadulla,Pottuvil,ULF,Anura De Silva,73,0.09,
2005,13D,Digamadulla,Pottuvil,NLF,Chamil Jayaneththi,55,0.07,
2005,13D,Digamadulla,Pottuvil,SLNF,Wimal Geeganage,29,0.03,
2005,13D,Digamadulla,Pottuvil,SLPF,P. Nelson Perera,27,0.03,
2005,13D,Digamadulla,Pottuvil,SEP,Wije Dias,18,0.02,
2005,13D,Digamadulla,Pottuvil,UNAF,H. S. Dharmadwaja,16,0.02,
2010,13D,Digamadulla,Pottuvil,NDF,Sarath Fonseka,54374,59.89,green
2010,13D,Digamadulla,Pottuvil,UPFA,Mahinda Rajapaksa,33979,37.42,blue
2010,13D,Digamadulla,Pottuvil,DUNF,M. C. M. Ismail,579,0.64,
2010,13D,Digamadulla,Pottuvil,UDF,C. J. Sugathsiri Gamage,430,0.47,
2010,13D,Digamadulla,Pottuvil,Ind 1,W. V. M. Ranjith,175,0.19,
2010,13D,Digamadulla,Pottuvil,JSP,A. A. Suraweera,188,0.21,
2010,13D,Digamadulla,Pottuvil,ONF,Lal Perera,173,0.19,
2010,13D,Digamadulla,Pottuvil,SLLP,A. S. P. Liyanage,130,0.14,
2010,13D,Digamadulla,Pottuvil,Ind 5,M. K. Shivajilingam,214,0.24,
2010,13D,Digamadulla,Pottuvil,NSH,Sarath Manamendra,131,0.14,
2010,13D,Digamadulla,Pottuvil,Ind 3,Ukkubanda Wijekoon,69,0.08,
2010,13D,Digamadulla,Pottuvil,USP,Siritunga Jayasuriya,64,0.07,
2010,13D,Digamadulla,Pottuvil,Ind 4,M. Mohamed Musthaffa,44,0.05,
2010,13D,Digamadulla,Pottuvil,Ind 2,Aithurus Mohamed Illias,42,0.05,
2010,13D,Digamadulla,Pottuvil,LF,Vikramabahu Karunaratne,43,0.05,
2010,13D,Digamadulla,Pottuvil,NA,Sanath Pinnaduwa,35,0.04,
2010,13D,Digamadulla,Pottuvil,SEP,Wije Dias,33,0.04,
2010,13D,Digamadulla,Pottuvil,PNF,Senaratna de Silva,29,0.03,
2010,13D,Digamadulla,Pottuvil,JP,Baththaramulle Seelarathana Thero,15,0.02,
2010,13D,Digamadulla,Pottuvil,RPP,Aruna de Soyza,19,0.02,
2010,13D,Digamadulla,Pottuvil,ACAKO,M. B. Theminimulla,13,0.01,
2010,13D,Digamadulla,Pottuvil,UNAF,Sarath Kongahage,17,0.02,
2015,13D,Digamadulla,Pottuvil,I-AMI,Aithurus Mohamed Illias,86,0.08,
2015,13D,Digamadulla,Pottuvil,UPF,Maulawi Ibrahim Mohanmed Mishlar,140,0.13,
2015,13D,Digamadulla,Pottuvil,DNM,Prasanna Priyankara,19,0.02,
2015,13D,Digamadulla,Pottuvil,SLNF,Wimal Geeganage,7,0.01,
2015,13D,Digamadulla,Pottuvil,USP,Siritunga Jayasuriya,65,0.06,
2015,13D,Digamadulla,Pottuvil,AACAAKO,M. B. Theminimulla,31,0.03,
2015,13D,Digamadulla,Pottuvil,SEP,Pani Wijesiriwardane,24,0.02,
2015,13D,Digamadulla,Pottuvil,FSP,Duminda Nagamuwa,63,0.06,
2015,13D,Digamadulla,Pottuvil,SLLP,A. S. P. Liyanage,235,0.22,
2015,13D,Digamadulla,Pottuvil,NDF,Maithripala Sirisena,81547,77.55,green
2015,13D,Digamadulla,Pottuvil,ULPP,Ruwanthilaka Peduru Arachchi,165,0.16,
2015,13D,Digamadulla,Pottuvil,I-AP,Anuruddha Polgampala,52,0.05,
2015,13D,Digamadulla,Pottuvil,JSP,Baththaramulle Seelarathana Thero,11,0.01,
2015,13D,Digamadulla,Pottuvil,NSH,Sarath Manamendra,53,0.05,
2015,13D,Digamadulla,Pottuvil,PNF,Arachchige Rathnayaka Sirisena,113,0.11,
2015,13D,Digamadulla,Pottuvil,UPFA,Mahinda Rajapaksa,22425,21.33,blue
2015,13D,Digamadulla,Pottuvil,ONF,Namal Ajith Rajapaksa,74,0.07,
2015,13D,Digamadulla,Pottuvil,NSSP,Sundaram Mahendran,29,0.03,red
2015,13D,Digamadulla,Pottuvil,ULGC,Jayantha Kulathunga,9,0.01,
1982,13P,Digamadulla,Postal Votes,UNP,Junius Richard Jayewardene,1011,64.97,green
1982,13P,Digamadulla,Postal Votes,SLFP,Hector Kobbekaduwa,372,23.91,blue
1982,13P,Digamadulla,Postal Votes,ACTC,Kumar Ponnambalam,95,6.11,yellow
1982,13P,Digamadulla,Postal Votes,JVP,Rohana Wijeweera,64,4.11,red
1982,13P,Digamadulla,Postal Votes,LSSP,Colvin Reginald de Silva,11,0.71,red
1982,13P,Digamadulla,Postal Votes,NSSP,Vasudeva Nanayakkara,3,0.19,red
1988,13P,Digamadulla,Postal Votes,UNP,Ranasinghe Premadasa,295,48.28,green
1988,13P,Digamadulla,Postal Votes,SLFP,Sirimavo Bandaranaike,292,47.79,blue
1988,13P,Digamadulla,Postal Votes,SLPP,Oswin Abeygunasekara,24,3.93,purple
1994,13P,Digamadulla,Postal Votes,PA,Chandrika Kumaratunga,4685,66.26,blue
1994,13P,Digamadulla,Postal Votes,UNP,Srimathi Dissanayake,2320,32.81,green
1994,13P,Digamadulla,Postal Votes,Ind 2,Hudson Samarasinghe,11,0.16,
1994,13P,Digamadulla,Postal Votes,SLPF,G. A. Nihal,24,0.34,
1994,13P,Digamadulla,Postal Votes,Ind 1,Arthur Jayasena Ranasinghe,18,0.25,
1994,13P,Digamadulla,Postal Votes,SMBP,Harischandra Wijayatunga,13,0.18,
1999,13P,Digamadulla,Postal Votes,PA,Chandrika Kumaratunga,2272,51.47,blue
1999,13P,Digamadulla,Postal Votes,UNP,Ranil Wickremesinghe,2071,46.92,green
1999,13P,Digamadulla,Postal Votes,JVP,M. D. Nandana Gunathilake,0,0.0,red
1999,13P,Digamadulla,Postal Votes,Ind 2,W. V. M. Ranjith,1,0.02,
1999,13P,Digamadulla,Postal Votes,Liberal,Rajiva Wijesinha,3,0.07,
1999,13P,Digamadulla,Postal Votes,Ind 1,T. Edirisuriya,1,0.02,
1999,13P,Digamadulla,Postal Votes,SLMP,Abdul Rasool,19,0.43,purple
1999,13P,Digamadulla,Postal Votes,PLSF,Kamal Karunadasa,0,0.0,
1999,13P,Digamadulla,Postal Votes,LDA,Vasudeva Nanayakkara,33,0.75,
1999,13P,Digamadulla,Postal Votes,SMBP,Harischandra Wijayatunga,10,0.23,
1999,13P,Digamadulla,Postal Votes,Ind 3,Hudson Samarasinghe,2,0.05,
1999,13P,Digamadulla,Postal Votes,DUNF,A. Dissanayaka,2,0.05,
1999,13P,Digamadulla,Postal Votes,PFF,A. W. Premawardhana,0,0.0,
2005,13P,Digamadulla,Postal Votes,UNP,Ranil Wickremesinghe,5228,42.47,green
2005,13P,Digamadulla,Postal Votes,UPFA,Mahinda Rajapaksa,7021,57.04,blue
2005,13P,Digamadulla,Postal Votes,USP,Siritunga Jayasuriya,2,0.02,
2005,13P,Digamadulla,Postal Votes,JSP,A. A. Suraweera,14,0.11,
2005,13P,Digamadulla,Postal Votes,ULPP,Victor Hettigoda,22,0.18,
2005,13P,Digamadulla,Postal Votes,RPP,Aruna de Soyza,4,0.03,
2005,13P,Digamadulla,Postal Votes,DUA,A. K. J. Arachchige,2,0.02,
2005,13P,Digamadulla,Postal Votes,ULF,Anura De Silva,3,0.02,
2005,13P,Digamadulla,Postal Votes,NLF,Chamil Jayaneththi,11,0.09,
2005,13P,Digamadulla,Postal Votes,SLNF,Wimal Geeganage,0,0.0,
2005,13P,Digamadulla,Postal Votes,SLPF,P. Nelson Perera,1,0.01,
2005,13P,Digamadulla,Postal Votes,SEP,Wije Dias,1,0.01,
2005,13P,Digamadulla,Postal Votes,UNAF,H. S. Dharmadwaja,0,0.0,
2010,13P,Digamadulla,Postal Votes,NDF,Sarath Fonseka,5885,36.8,green
2010,13P,Digamadulla,Postal Votes,UPFA,Mahinda Rajapaksa,9989,62.47,blue
2010,13P,Digamadulla,Postal Votes,DUNF,M. C. M. Ismail,18,0.11,
2010,13P,Digamadulla,Postal Votes,UDF,C. J. Sugathsiri Gamage,7,0.04,
2010,13P,Digamadulla,Postal Votes,Ind 1,W. V. M. Ranjith,9,0.06,
2010,13P,Digamadulla,Postal Votes,JSP,A. A. Suraweera,13,0.08,
2010,13P,Digamadulla,Postal Votes,ONF,Lal Perera,1,0.01,
2010,13P,Digamadulla,Postal Votes,SLLP,A. S. P. Liyanage,4,0.03,
2010,13P,Digamadulla,Postal Votes,Ind 5,M. K. Shivajilingam,11,0.07,
2010,13P,Digamadulla,Postal Votes,NSH,Sarath Manamendra,6,0.04,
2010,13P,Digamadulla,Postal Votes,Ind 3,Ukkubanda Wijekoon,4,0.03,
2010,13P,Digamadulla,Postal Votes,USP,Siritunga Jayasuriya,4,0.03,
2010,13P,Digamadulla,Postal Votes,Ind 4,M. Mohamed Musthaffa,23,0.14,
2010,13P,Digamadulla,Postal Votes,Ind 2,Aithurus Mohamed Illias,1,0.01,
2010,13P,Digamadulla,Postal Votes,LF,Vikramabahu Karunaratne,7,0.04,
2010,13P,Digamadulla,Postal Votes,NA,Sanath Pinnaduwa,0,0.0,
2010,13P,Digamadulla,Postal Votes,SEP,Wije Dias,1,0.01,
2010,13P,Digamadulla,Postal Votes,PNF,Senaratna de Silva,1,0.01,
2010,13P,Digamadulla,Postal Votes,JP,Baththaramulle Seelarathana Thero,3,0.02,
2010,13P,Digamadulla,Postal Votes,RPP,Aruna de Soyza,2,0.01,
2010,13P,Digamadulla,Postal Votes,ACAKO,M. B. Theminimulla,1,0.01,
2010,13P,Digamadulla,Postal Votes,UNAF,Sarath Kongahage,0,0.0,
2015,13P,Digamadulla,Postal Votes,I-AMI,Aithurus Mohamed Illias,9,0.04,
2015,13P,Digamadulla,Postal Votes,UPF,Maulawi Ibrahim Mohanmed Mishlar,8,0.04,
2015,13P,Digamadulla,Postal Votes,DNM,Prasanna Priyankara,1,0.0,
2015,13P,Digamadulla,Postal Votes,SLNF,Wimal Geeganage,2,0.01,
2015,13P,Digamadulla,Postal Votes,USP,Siritunga Jayasuriya,7,0.03,
2015,13P,Digamadulla,Postal Votes,AACAAKO,M. B. Theminimulla,2,0.01,
2015,13P,Digamadulla,Postal Votes,SEP,Pani Wijesiriwardane,1,0.0,
2015,13P,Digamadulla,Postal Votes,FSP,Duminda Nagamuwa,6,0.03,
2015,13P,Digamadulla,Postal Votes,SLLP,A. S. P. Liyanage,9,0.04,
2015,13P,Digamadulla,Postal Votes,NDF,Maithripala Sirisena,11917,54.89,green
2015,13P,Digamadulla,Postal Votes,ULPP,Ruwanthilaka Peduru Arachchi,7,0.03,
2015,13P,Digamadulla,Postal Votes,I-AP,Anuruddha Polgampala,2,0.01,
2015,13P,Digamadulla,Postal Votes,JSP,Baththaramulle Seelarathana Thero,2,0.01,
2015,13P,Digamadulla,Postal Votes,NSH,Sarath Manamendra,2,0.01,
2015,13P,Digamadulla,Postal Votes,PNF,Arachchige Rathnayaka Sirisena,14,0.06,
2015,13P,Digamadulla,Postal Votes,UPFA,Mahinda Rajapaksa,9713,44.74,blue
2015,13P,Digamadulla,Postal Votes,ONF,Namal Ajith Rajapaksa,3,0.01,
2015,13P,Digamadulla,Postal Votes,NSSP,Sundaram Mahendran,4,0.02,red
2015,13P,Digamadulla,Postal Votes,ULGC,Jayantha Kulathunga,2,0.01,
1982,14A,Trincomalee,Seruvila,UNP,Junius Richard Jayewardene,15823,45.92,green
1982,14A,Trincomalee,Seruvila,SLFP,Hector Kobbekaduwa,13097,38.01,blue
1982,14A,Trincomalee,Seruvila,ACTC,Kumar Ponnambalam,1708,4.96,yellow
1982,14A,Trincomalee,Seruvila,JVP,Rohana Wijeweera,3536,10.26,red
1982,14A,Trincomalee,Seruvila,LSSP,Colvin Reginald de Silva,211,0.61,red
1982,14A,Trincomalee,Seruvila,NSSP,Vasudeva Nanayakkara,80,0.23,red
1988,14A,Trincomalee,Seruvila,UNP,Ranasinghe Premadasa,12319,47.67,green
1988,14A,Trincomalee,Seruvila,SLFP,Sirimavo Bandaranaike,12733,49.27,blue
1988,14A,Trincomalee,Seruvila,SLPP,Oswin Abeygunasekara,789,3.05,purple
1994,14A,Trincomalee,Seruvila,PA,Chandrika Kumaratunga,20621,62.45,blue
1994,14A,Trincomalee,Seruvila,UNP,Srimathi Dissanayake,11726,35.51,green
1994,14A,Trincomalee,Seruvila,Ind 2,Hudson Samarasinghe,415,1.26,
1994,14A,Trincomalee,Seruvila,SLPF,G. A. Nihal,111,0.34,
1994,14A,Trincomalee,Seruvila,SMBP,Harischandra Wijayatunga,85,0.26,
1994,14A,Trincomalee,Seruvila,Ind 1,Arthur Jayasena Ranasinghe,60,0.18,
1999,14A,Trincomalee,Seruvila,UNP,Ranil Wickremesinghe,14551,38.49,green
1999,14A,Trincomalee,Seruvila,PA,Chandrika Kumaratunga,20781,54.96,blue
1999,14A,Trincomalee,Seruvila,JVP,M. D. Nandana Gunathilake,1515,4.01,red
1999,14A,Trincomalee,Seruvila,Ind 2,W. V. M. Ranjith,236,0.62,
1999,14A,Trincomalee,Seruvila,Liberal,Rajiva Wijesinha,202,0.53,
1999,14A,Trincomalee,Seruvila,SLMP,Abdul Rasool,73,0.19,purple
1999,14A,Trincomalee,Seruvila,Ind 1,T. Edirisuriya,181,0.48,
1999,14A,Trincomalee,Seruvila,LDA,Vasudeva Nanayakkara,37,0.1,
1999,14A,Trincomalee,Seruvila,PLSF,Kamal Karunadasa,65,0.17,
1999,14A,Trincomalee,Seruvila,SMBP,Harischandra Wijayatunga,90,0.24,
1999,14A,Trincomalee,Seruvila,Ind 3,Hudson Samarasinghe,35,0.09,
1999,14A,Trincomalee,Seruvila,DUNF,A. Dissanayaka,21,0.06,
1999,14A,Trincomalee,Seruvila,PFF,A. W. Premawardhana,21,0.06,
2005,14A,Trincomalee,Seruvila,UNP,Ranil Wickremesinghe,17835,44.86,green
2005,14A,Trincomalee,Seruvila,UPFA,Mahinda Rajapaksa,21353,53.71,blue
2005,14A,Trincomalee,Seruvila,USP,Siritunga Jayasuriya,142,0.36,
2005,14A,Trincomalee,Seruvila,JSP,A. A. Suraweera,153,0.38,
2005,14A,Trincomalee,Seruvila,ULPP,Victor Hettigoda,56,0.14,
2005,14A,Trincomalee,Seruvila,DUA,A. K. J. Arachchige,35,0.09,
2005,14A,Trincomalee,Seruvila,NLF,Chamil Jayaneththi,50,0.13,
2005,14A,Trincomalee,Seruvila,RPP,Aruna de Soyza,50,0.13,
2005,14A,Trincomalee,Seruvila,ULF,Anura De Silva,29,0.07,
2005,14A,Trincomalee,Seruvila,SLNF,Wimal Geeganage,26,0.07,
2005,14A,Trincomalee,Seruvila,SEP,Wije Dias,14,0.04,
2005,14A,Trincomalee,Seruvila,SLPF,P. Nelson Perera,9,0.02,
2005,14A,Trincomalee,Seruvila,UNAF,H. S. Dharmadwaja,7,0.02,
2010,14A,Trincomalee,Seruvila,NDF,Sarath Fonseka,15260,34.47,green
2010,14A,Trincomalee,Seruvila,UPFA,Mahinda Rajapaksa,27932,63.1,blue
2010,14A,Trincomalee,Seruvila,DUNF,M. C. M. Ismail,262,0.59,
2010,14A,Trincomalee,Seruvila,UDF,C. J. Sugathsiri Gamage,121,0.27,
2010,14A,Trincomalee,Seruvila,Ind 1,W. V. M. Ranjith,133,0.3,
2010,14A,Trincomalee,Seruvila,JSP,A. A. Suraweera,100,0.23,
2010,14A,Trincomalee,Seruvila,Ind 5,M. K. Shivajilingam,32,0.07,
2010,14A,Trincomalee,Seruvila,NSH,Sarath Manamendra,63,0.14,
2010,14A,Trincomalee,Seruvila,USP,Siritunga Jayasuriya,54,0.12,
2010,14A,Trincomalee,Seruvila,ONF,Lal Perera,42,0.09,
2010,14A,Trincomalee,Seruvila,SLLP,A. S. P. Liyanage,66,0.15,
2010,14A,Trincomalee,Seruvila,Ind 3,Ukkubanda Wijekoon,51,0.12,
2010,14A,Trincomalee,Seruvila,LF,Vikramabahu Karunaratne,29,0.07,
2010,14A,Trincomalee,Seruvila,Ind 2,Aithurus Mohamed Illias,14,0.03,
2010,14A,Trincomalee,Seruvila,NA,Sanath Pinnaduwa,21,0.05,
2010,14A,Trincomalee,Seruvila,SEP,Wije Dias,19,0.04,
2010,14A,Trincomalee,Seruvila,Ind 4,M. Mohamed Musthaffa,13,0.03,
2010,14A,Trincomalee,Seruvila,RPP,Aruna de Soyza,19,0.04,
2010,14A,Trincomalee,Seruvila,UNAF,Sarath Kongahage,9,0.02,
2010,14A,Trincomalee,Seruvila,PNF,Senaratna de Silva,13,0.03,
2010,14A,Trincomalee,Seruvila,ACAKO,M. B. Theminimulla,6,0.01,
2010,14A,Trincomalee,Seruvila,JP,Baththaramulle Seelarathana Thero,10,0.02,
2015,14A,Trincomalee,Seruvila,I-AMI,Aithurus Mohamed Illias,35,0.07,
2015,14A,Trincomalee,Seruvila,UPF,Maulawi Ibrahim Mohanmed Mishlar,60,0.11,
2015,14A,Trincomalee,Seruvila,DNM,Prasanna Priyankara,9,0.02,
2015,14A,Trincomalee,Seruvila,SLNF,Wimal Geeganage,14,0.03,
2015,14A,Trincomalee,Seruvila,USP,Siritunga Jayasuriya,44,0.08,
